type,choreographer,label
LK,Levi Bargil,"0, 5, 10"
L,Rafi Ziv,"1_2_3, Maria"
L,Shalom Amar,100 Miles
L,Yo'av Ashriel,12 Ton (Shteim Esreh Ton)
C,Meir Shem Tov,16 Malu Lana'ar (C)
P,"Mishel Cohen, Gil",16 Malu Lana'ar (P)
L,Yo'av Ashriel,16 Tons (Sixteen Tons)
L,Rafi Ziv,2 Cowboys (Jonfi John)
P,Moshe Telem,2010 Ze 10
C,Gadi Bitton,24 Sha'ot (Esrim Ve'arba Sha'ot)
L,Dudu Sapir,50 Ways To Say Goodbye
C,Gert-Jan Van Ammerkate,A Chassene
L,Yaron Medan,A Chorus Lane (Shurat Hamakhela)
C,Fred Berk,A Lidl
C,Shlomo Maman,A Shtikale Broit
C,Avi Perez,Aba (Avi Perez)
C,Eli Segal,Aba (Eli Segal)
C,Nurit Melamed,Aba Gadol
C,Shmulik Gov Ari,Aba Shalom Shabazi
C,Nurit Melamed,Aba Sheli
C,Israel Yakovee,Aba Shimon
C,Moshiko Halevy,Ababay
LK,Chen Shporen,Abanibi
C,Moshiko Halevy,Abaya (Et Kashet Li Be'abaya)
L,Ilan Cohen,Abdel Kader
L,Dede Luski,Absolutely Everybody
P,Shlomo Maman,Abus Einek
P,Yankale Ziv,Ach Milat Mafteach
C,Shlomo Maman,Ach Sheli Mitchaten
C,Shlomo Maman,Ach Tov Le'israel
C,Avi Perez,Ach Ya Rab (Shiro Shel Sallah)
C,"Sharon Elkaslassy, Chana Shuvaly",Ach Yakar
C,Sefi Aviv,Achai Bnei Teiman
C,Israel Shiker,"Achake Lecha (C, Israel Shiker)"
C,Benny Levy,"Achake Lecha (C, Benny Levy)"
P,Shmulik Gov Ari,Achake Lecha (P)
C,Israel Shiker,Acharei Hachagim
P,Oren Ashkenazi,Acharei Hahofa'ah
P,Motti Elfasy,Acharei Hashkiah Basadeh
C,Yo'av Sidi,Acharei Shalosh Kosiyot
P,"Mali Lipson, Moshe",Acharei Shehakol Yigamer
P,Shlomo Maman,Acharey Hakol At Shir
P,Itzik Ben Dahan,Acharey Kol Hashanim (Itzik Ben Dahan)
P,Gadi Bitton,Acharey Kol Hashanim (Gadi Bitton)
C,Gadi Bitton,Acharit Hayamim
C,Yaron Malihi,Achat Mikulan (Hachipazon Rachok Mimeni)
C,Maurice Perez,Achat Sha'alti
P,Avi Perez,Achat Shekazot
P,Gur Rozen,Achat Uletamid
P,Shmulik Gov Ari,Achat Ve'ein Acheret
P,Israel Yakovee,Achay Bnei Teiman
C,Meir Shem Tov,Achdut
C,Nurit Melamed,Acheinu
C,Shmulik Gov Ari,Acheinu Me'etyopia (Avoda Shchora)
P,Itzik Sa'ada,Achi Achi
C, ,Achi Hatsa'ir Yehuda
C,Moshiko Halevy,Achibak
P,Eli Segal,Achibak (Ohev Otcha)
C,Oren Ashkenazi,Achim Ba Dam
C,Shlomo Maman,Achla
L,Eran Bitton,Achla Chamuda
C,Israel Shiker,Achla Medina
P,Shlomo Maman,Achot
C,Israel Yakovee,Achot Lanu Ktana
C,Nurit Melamed,Achoti
P,David Edery,Achoti Kala
P,Amnon Amram,Achrei Shloshim Ze Yofi
