title,type,year,choreographer,aka,akac,label
"0, 5, 10",Line;Kids,2015,Levi Bargil,0 5 10,Levi Bargil,"0, 5, 10"
"1_2_3, Maria",Line,1997,Rafi Ziv,123 Maria,Rafi Ziv,"1_2_3, Maria"
100 Miles,Line,1970,Shalom Amar,100 Miles,Shalom Amar,100 Miles
12 Ton (Shteim Esreh Ton),Line,1986,Yo'av Ashriel,12 Ton Shteim Esreh Ton,Yoav Ashriel,12 Ton (Shteim Esreh Ton)
16 Malu Lana'ar,Circle,1998,Meir Shem Tov,16 Malu Lanaar,Meir Shem Tov,16 Malu Lana'ar (Circle)
16 Malu Lana'ar,Partner,2010,Mishel Cohen; Gil,16 Malu Lanaar,Mishel Cohen Gil,16 Malu Lana'ar (Partner)
16 Tons (Sixteen Tons),Line,1973,Yo'av Ashriel,16 Tons Sixteen Tons,Yoav Ashriel,16 Tons (Sixteen Tons)
2 Cowboys (Jonfi John),Line,1994,Rafi Ziv,2 Cowboys Jonfi John,Rafi Ziv,2 Cowboys (Jonfi John)
2010 Ze 10,Partner,2010,Moshe Telem,2010 Ze 10,Moshe Telem,2010 Ze 10
24 Sha'ot (Esrim Ve'arba Sha'ot),Circle,2002,Gadi Bitton,24 Shaot Esrim Vearba Shaot,Gadi Bitton,24 Sha'ot (Esrim Ve'arba Sha'ot)
50 Ways To Say Goodbye,Line,2016,Dudu Sapir,50 Ways To Say Goodbye,Dudu Sapir,50 Ways To Say Goodbye
A Chassene,Circle,1900,Gert-Jan Van Ammerkate,A Chassene,GertJan Van Ammerkate,A Chassene
A Chorus Lane (Shurat Hamakhela),Line,1996,Yaron Medan,A Chorus Lane Shurat Hamakhela,Yaron Medan,A Chorus Lane (Shurat Hamakhela)
A Lidl,Circle,1977,Fred Berk,A Lidl,Fred Berk,A Lidl
Aba,Circle,2003,Avi Perez,Aba,Avi Perez,"Aba (Circle, Avi Perez)"
Aba,Circle,2008,Eli Segal,Aba,Eli Segal,"Aba (Circle, Eli Segal)"
Aba Gadol,Circle,2017,Nurit Melamed,Aba Gadol,Nurit Melamed,Aba Gadol
Aba Shalom Shabazi,Circle,2000,Shmulik Gov Ari,Aba Shalom Shabazi,Shmulik Gov Ari,Aba Shalom Shabazi
Aba Sheli,Circle,2017,Nurit Melamed,Aba Sheli,Nurit Melamed,Aba Sheli
Aba Shimon,Circle,1990,Israel Yakovee,Aba Shimon,Israel Yakovee,Aba Shimon
Ababay,Circle,2017,Moshiko Halevy,Ababay,Moshiko Halevy,Ababay
Abanibi,Line;Kids,2018,Chen Shporen,Abanibi,Chen Shporen,Abanibi
Abaya (Et Kashet Li Be'abaya),Circle,1959,Moshiko Halevy,Abaya Et Kashet Li Beabaya,Moshiko Halevy,Abaya (Et Kashet Li Be'abaya)
Abdel Kader,Line,2000,Ilan Cohen,Abdel Kader,Ilan Cohen,Abdel Kader
Absolutely Everybody,Line,2002,Dede Luski,Absolutely Everybody,Dede Luski,Absolutely Everybody
Abus Einek,Partner,1992,Shlomo Maman,Abus Einek,Shlomo Maman,Abus Einek
Ach Milat Mafteach,Partner,2006,Yankale Ziv,Ach Milat Mafteach,Yankale Ziv,Ach Milat Mafteach
Ach Sheli Mitchaten,Circle,2019,Shlomo Maman,Ach Sheli Mitchaten,Shlomo Maman,Ach Sheli Mitchaten
Ach Tov Le'israel,Circle,1985,Shlomo Maman,Ach Tov Leisrael,Shlomo Maman,Ach Tov Le'israel
Ach Ya Rab (Shiro Shel Sallah),Circle,2005,Avi Perez,Ach Ya Rab Shiro Shel Sallah,Avi Perez,Ach Ya Rab (Shiro Shel Sallah)
Ach Yakar,Circle,2017,Sharon Elkaslassy; Chana Shuvaly,Ach Yakar,Sharon Elkaslassy Chana Shuvaly,Ach Yakar
Achai Bnei Teiman,Circle,1993,Sefi Aviv,Achai Bnei Teiman,Sefi Aviv,Achai Bnei Teiman
Achake Lecha,Circle,1994,Israel Shiker,Achake Lecha,Israel Shiker,"Achake Lecha (Circle, Israel Shiker)"
Achake Lecha,Circle,1995,Benny Levy,Achake Lecha,Benny Levy,"Achake Lecha (Circle, Benny Levy)"
Achake Lecha,Partner,1991,Shmulik Gov Ari,Achake Lecha,Shmulik Gov Ari,Achake Lecha (Partner)
Acharei Hachagim,Circle,2008,Israel Shiker,Acharei Hachagim,Israel Shiker,Acharei Hachagim
Acharei Hahofa'ah,Partner,2006,Oren Ashkenazi,Acharei Hahofaah,Oren Ashkenazi,Acharei Hahofa'ah
Acharei Hashkiah Basadeh,Partner,1974,Motti Elfasy,Acharei Hashkiah Basadeh,Motti Elfasy,Acharei Hashkiah Basadeh
Acharei Shalosh Kosiyot,Circle,1900,Yo'av Sidi,Acharei Shalosh Kosiyot,Yoav Sidi,Acharei Shalosh Kosiyot
Acharei Shehakol Yigamer,Partner,2009,Mali Lipson; Moshe,Acharei Shehakol Yigamer,Mali Lipson Moshe,Acharei Shehakol Yigamer
Acharey Kol Hashanim,Partner,2016,Itzik Ben Dahan,Acharey Kol Hashanim,Itzik Ben Dahan,"Acharey Kol Hashanim (Partner, Itzik Ben Dahan)"
Acharey Kol Hashanim,Partner,2016,Gadi Bitton,Acharey Kol Hashanim,Gadi Bitton,"Acharey Kol Hashanim (Partner, Gadi Bitton)"
Acharit Hayamim,Circle,2011,Gadi Bitton,Acharit Hayamim,Gadi Bitton,Acharit Hayamim
Achat Mikulan (Hachipazon Rachok Mimeni),Circle,2005,Yaron Malihi,Achat Mikulan Hachipazon Rachok Mimeni,Yaron Malihi,Achat Mikulan (Hachipazon Rachok Mimeni)
Achat Sha'alti,Circle,1989,Maurice Perez,Achat Shaalti,Maurice Perez,Achat Sha'alti
Achat Uletamid,Partner,1989,Gur Rozen,Achat Uletamid,Gur Rozen,Achat Uletamid
Achat Ve'ein Acheret,Partner,2000,Shmulik Gov Ari,Achat Veein Acheret,Shmulik Gov Ari,Achat Ve'ein Acheret
Achay Bnei Teiman,Partner,1992,Israel Yakovee,Achay Bnei Teiman,Israel Yakovee,Achay Bnei Teiman
Achdut,Circle,2000,Meir Shem Tov,Achdut,Meir Shem Tov,Achdut
Acheinu,Circle,2018,Nurit Melamed,Acheinu,Nurit Melamed,Acheinu
Acheinu Me'etyopia (Avoda Shchora),Circle,2000,Shmulik Gov Ari,Acheinu Meetyopia Avoda Shchora,Shmulik Gov Ari,Acheinu Me'etyopia (Avoda Shchora)
Achi Achi,Partner,2004,Itzik Sa'ada,Achi Achi,Itzik Saada,Achi Achi
Achi Hatsa'ir Yehuda,Circle,1900, ,Achi Hatsair Yehuda, ,Achi Hatsa'ir Yehuda
Achibak,Circle,2003,Moshiko Halevy,Achibak,Moshiko Halevy,Achibak
Achibak (Ohev Otcha),Partner,2000,Eli Segal,Achibak Ohev Otcha,Eli Segal,Achibak (Ohev Otcha)
Achim Ba Dam,Circle,2015,Oren Ashkenazi,Achim Ba Dam,Oren Ashkenazi,Achim Ba Dam
Achla,Circle,1997,Shlomo Maman,Achla,Shlomo Maman,Achla
Achla Chamuda,Line,2011,Eran Bitton,Achla Chamuda,Eran Bitton,Achla Chamuda
Achla Medina,Circle,2003,Israel Shiker,Achla Medina,Israel Shiker,Achla Medina
Achot,Partner,2019,Shlomo Maman,Achot,Shlomo Maman,Achot
Achot Lanu Ktana,Circle,1979,Israel Yakovee,Achot Lanu Ktana,Israel Yakovee,Achot Lanu Ktana
Achoti,Circle,2018,Nurit Melamed,Achoti,Nurit Melamed,Achoti
Achoti Kala,Partner,1979,David Edery,Achoti Kala,David Edery,Achoti Kala
Achrei Shloshim Ze Yofi,Partner,2014,Amnon Amram,Achrei Shloshim Ze Yofi,Amnon Amram,Achrei Shloshim Ze Yofi
Achrey Esrim Shana,Partner,2016,Mishel Cohen; Gil,Achrey Esrim Shana,Mishel Cohen Gil,Achrey Esrim Shana
Achron Shiraich,Circle,2017,Israel Shiker,Achron Shiraich,Israel Shiker,Achron Shiraich
Achshav,Circle,1941,American,Achshav,American,"Achshav (Circle, American)"
Achshav,Circle,2010,Sara Kletter,Achshav,Sara Kletter,"Achshav (Circle, Sara Kletter)"
Achshav,Circle,2012,Yaron Malihi,Achshav,Yaron Malihi,"Achshav (Circle, Yaron Malihi)"
Achshav,Circle,2013,Kobi Michaeli,Achshav,Kobi Michaeli,"Achshav (Circle, Kobi Michaeli)"
Achshav Ani Af,Circle,2019,Oren Bachar,Achshav Ani Af,Oren Bachar,Achshav Ani Af
Achshav Ani Chozer,Circle,2017,Michael Barzelai,Achshav Ani Chozer,Michael Barzelai,Achshav Ani Chozer
Achshav Ani Kan (Chelek Mimeni),Circle,1993,Itzik Sa'ada,Achshav Ani Kan Chelek Mimeni,Itzik Saada,Achshav Ani Kan (Chelek Mimeni)
Achshav At Yodaat,Partner,2019,Mali Lipson; Moshe,Achshav At Yodaat,Mali Lipson Moshe,Achshav At Yodaat
Achshav Halev Patuach,Circle,2019,Sagi Azran,Achshav Halev Patuach,Sagi Azran,Achshav Halev Patuach
Achshav Hator Le'ahava,Partner,1900,Shlomo Maman,Achshav Hator Leahava,Shlomo Maman,Achshav Hator Le'ahava
Achshav Hator Leahava (Achshav Hator Le'ahavah),Partner,2016,Shlomo Maman,Achshav Hator Leahava Achshav Hator Leahavah,Shlomo Maman,Achshav Hator Leahava (Achshav Hator Le'ahavah)
Achshav Hi Sham (Achshav Hi),Partner,1997,Itzik Sa'ada,Achshav Hi Sham Achshav Hi,Itzik Saada,Achshav Hi Sham (Achshav Hi)
Achshav Karov,Partner,2014,Gadi Bitton,Achshav Karov,Gadi Bitton,Achshav Karov
Achshav Kulam Rokdim,Circle,2017,Rafi Ziv,Achshav Kulam Rokdim,Rafi Ziv,Achshav Kulam Rokdim
Achshav Linshom,Partner,2013,Tuvia Tishler,Achshav Linshom,Tuvia Tishler,Achshav Linshom
Achshav Machar,Partner,2005,Sagi Azran,Achshav Machar,Sagi Azran,Achshav Machar
Achshav O Leolam,Circle,2015,Yaron Ben Simhon; Orly Setareh,Achshav O Leolam,Yaron Ben Simhon Orly Setareh,Achshav O Leolam
Achshav Torcha,Circle,2011,Israel Shiker,Achshav Torcha,Israel Shiker,Achshav Torcha
Achshav Tori,Circle,2012,Nurit Melamed,Achshav Tori,Nurit Melamed,Achshav Tori
Achshav Tov,Circle,2006,Sharon Elkaslassy; Dudu Barzilay,Achshav Tov,Sharon Elkaslassy Dudu Barzilay,Achshav Tov
Across Texas (Someone Must Feel Like a Fool ..),Line,2000, ,Across Texas Someone Must Feel Like a Fool , ,Across Texas (Someone Must Feel Like a Fool ..)
Ad Ashuv,Partner,2017,Ilai Szpiezak,Ad Ashuv,Ilai Szpiezak,Ad Ashuv
Ad Bechi,Partner,1997,Victor Gabbay,Ad Bechi,Victor Gabbay,Ad Bechi
Ad Bli Dai,Circle,1984,Shlomo Maman,Ad Bli Dai,Shlomo Maman,Ad Bli Dai
Ad Chatsi Hamalchut,Partner,1998,Amnon Amram,Ad Chatsi Hamalchut,Amnon Amram,Ad Chatsi Hamalchut
Ad Chatsot Rokedet,Circle,2012,Moshiko Halevy,Ad Chatsot Rokedet,Moshiko Halevy,Ad Chatsot Rokedet
Ad Elai,Partner,2008,Ma'or Gabbay,Ad Elai,Maor Gabbay,Ad Elai
Ad Elayich,Partner,2015,Avi Levy,Ad Elayich,Avi Levy,Ad Elayich
Ad Emtsa Makom,Circle,2019,Sara Kelter,Ad Emtsa Makom,Sara Kelter,Ad Emtsa Makom
Ad Hachatuna Zeh Ya'avor,Circle,2008,Mike Varon,Ad Hachatuna Zeh Yaavor,Mike Varon,Ad Hachatuna Zeh Ya'avor
Ad Hachatunah,Circle,2008,Gadi Bitton,Ad Hachatunah,Gadi Bitton,Ad Hachatunah
Ad Halom,Partner,1988,Itzik Sa'ada,Ad Halom,Itzik Saada,Ad Halom
Ad Hamidbar,Line,2016,Michael Barzelai,Ad Hamidbar,Michael Barzelai,Ad Hamidbar
Ad Hanekuda,Partner,1998,Shimon Assor,Ad Hanekuda,Shimon Assor,Ad Hanekuda
Ad Hapa'am Haba'ah (Lifnei Shnifradim),Partner,1989,Yankale Levy,Ad Hapaam Habaah Lifnei Shnifradim,Yankale Levy,Ad Hapa'am Haba'ah (Lifnei Shnifradim)
Ad Hasof,Partner,2007,Yaron Malihi,Ad Hasof,Yaron Malihi,Ad Hasof
Ad Hasof Beyachad,Partner,2009,Sagi Azran,Ad Hasof Beyachad,Sagi Azran,Ad Hasof Beyachad
Ad Hena,Circle,2013,Ilan Swisa,Ad Hena,Ilan Swisa,Ad Hena
Ad Kama Ahavtich,Partner,1998,Naftaly Kadosh,Ad Kama Ahavtich,Naftaly Kadosh,Ad Kama Ahavtich
Ad Klot,Partner,2008,Tuvia Tishler,Ad Klot,Tuvia Tishler,Ad Klot
Ad Klot Haneshimah,Circle,2014,Moshe Tawily,Ad Klot Haneshimah,Moshe Tawily,Ad Klot Haneshimah
Ad Matai,Circle,2010,Nona Malki,Ad Matai,Nona Malki,"Ad Matai (Circle, Nona Malki)"
Ad Matai,Circle,2010,Yaron Malihi,Ad Matai,Yaron Malihi,"Ad Matai (Circle, Yaron Malihi)"
Ad Matai (Lev Cholech),Partner,2001,Itzik Sa'ada,Ad Matai Lev Cholech,Itzik Saada,Ad Matai (Lev Cholech)
Ad Matai Elohai,Circle,2013,Nurit Melamed,Ad Matai Elohai,Nurit Melamed,Ad Matai Elohai
Ad Neshimati Ha'achrona,Circle,2002,Dudu Barzilay,Ad Neshimati Haachrona,Dudu Barzilay,Ad Neshimati Ha'achrona
Ad Olam,Partner,2003,Victor Gabbay,Ad Olam,Victor Gabbay,Ad Olam
Ad Or Haboker,Circle,1969,Yo'av Ashriel,Ad Or Haboker,Yoav Ashriel,"Ad Or Haboker (Circle, Yo'av Ashriel)"
Ad Or Haboker,Circle,1970,Moshe Eskayo,Ad Or Haboker,Moshe Eskayo,"Ad Or Haboker (Circle, Moshe Eskayo)"
Ad She'achzor,Circle,2013,Kobi Michaeli,Ad Sheachzor,Kobi Michaeli,Ad She'achzor
Ad Shebata,Partner,2009,Avi Perez,Ad Shebata,Avi Perez,Ad Shebata
Ad Sheharitspa Tipol,Circle,2018,Itzik Ben Dahan,Ad Sheharitspa Tipol,Itzik Ben Dahan,Ad Sheharitspa Tipol
Ad Sheharuach,Circle,2008,Kobi Michaeli,Ad Sheharuach,Kobi Michaeli,Ad Sheharuach
Ad Shehigat,Partner,2007,Shmulik Gov Ari,Ad Shehigat,Shmulik Gov Ari,Ad Shehigat
Ad Shelo,Partner,2015,Yael Twito,Ad Shelo,Yael Twito,Ad Shelo
Ad Shenitorer,Circle,2017,Rafi Ziv,Ad Shenitorer,Rafi Ziv,Ad Shenitorer
Ad She'Ta'azov,Partner,2005,Avi Mosaiyev,Ad SheTaazov,Avi Mosaiyev,Ad She'Ta'azov
Ad Shetitragli Elay,Circle,2012,Moshe Tawily,Ad Shetitragli Elay,Moshe Tawily,Ad Shetitragli Elay
Ad Sheyafuach Yom,Partner,1962,Yankale Levy,Ad Sheyafuach Yom,Yankale Levy,Ad Sheyafuach Yom
Ad Sof Ha'ahava,Partner,2008,Mali Lipson; Moshe,Ad Sof Haahava,Mali Lipson Moshe,Ad Sof Ha'ahava
Ad Sof Hakayits,Partner,2001,Yaron Ben Simhon,Ad Sof Hakayits,Yaron Ben Simhon,Ad Sof Hakayits
Ad Sof Ha'olam,Partner,2003,Gadi Bitton,Ad Sof Haolam,Gadi Bitton,Ad Sof Ha'olam
Adaber Itcha,Circle,1997,Naftaly Kadosh,Adaber Itcha,Naftaly Kadosh,Adaber Itcha
Adam,Circle,1995,Eyal Bar Kayma (Eyal Levy),Adam,Eyal Bar Kayma Eyal Levy,Adam
Adam Acher,Partner,1995,Yoram Bargil; Dina Zaitman,Adam Acher,Yoram Bargil Dina Zaitman,Adam Acher
Adam Le'adam,Circle,2019,Nurit Melamed,Adam Leadam,Nurit Melamed,Adam Le'adam
Adam Nolad Sachkan,Circle,2016,Eli Segal,Adam Nolad Sachkan,Eli Segal,Adam Nolad Sachkan
Adam Tsover Zichronot,Circle,2015,Eli Segal,Adam Tsover Zichronot,Eli Segal,Adam Tsover Zichronot
Adama,Circle,1999,Yossi Rozilio,Adama,Yossi Rozilio,Adama
Adama Admati,Partner,1957,Yonatan Karmon,Adama Admati,Yonatan Karmon,Adama Admati
Adama Admati (Al Givot Sheikh Abrek),Partner,1959,Se'adia Amishai,Adama Admati Al Givot Sheikh Abrek,Seadia Amishai,"Adama Admati (Al Givot Sheikh Abrek) (Partner, Se'adia Amishai)"
Adama Admati (Al Givot Sheikh Abrek),Partner,1969,Dani Dassa,Adama Admati Al Givot Sheikh Abrek,Dani Dassa,"Adama Admati (Al Givot Sheikh Abrek) (Partner, Dani Dassa)"
Adamah Veshamayim,Circle,2008,Gadi Bitton,Adamah Veshamayim,Gadi Bitton,Adamah Veshamayim
Adanim,Partner,1990,Gabi Tiram,Adanim,Gabi Tiram,Adanim
Adaniya,Circle,1992,Moshe Telem,Adaniya,Moshe Telem,Adaniya
Adarim,Partner,1955,Tamar Alyagor,Adarim,Tamar Alyagor,Adarim
Adayim,Circle,1998,Shmulik Gov Ari,Adayim,Shmulik Gov Ari,Adayim
Adayin Achshav,Circle,2017,Arthur Lerer,Adayin Achshav,Arthur Lerer,Adayin Achshav
Adayin Kan,Partner,1997,Shlomo Maman,Adayin Kan,Shlomo Maman,Adayin Kan
Adayn Po (Y Yo Sigo Aqui),Line,2002,Carina Saslavsky,Adayn Po Y Yo Sigo Aqui,Carina Saslavsky,Adayn Po (Y Yo Sigo Aqui)
Addicted to You,Line,2012,Karina Lambert,Addicted to You,Karina Lambert,Addicted to You
Adif Kevar Levad,Partner,2011,Tzidki Arami,Adif Kevar Levad,Tzidki Arami,Adif Kevar Levad
Adios Muchachos,Partner,2015,Itzik Lezebnic,Adios Muchachos,Itzik Lezebnic,Adios Muchachos
Adir Adirim,Circle,2018,Gadi Bitton,Adir Adirim,Gadi Bitton,Adir Adirim
Admati,Circle,2003,Yaron Ben Simhon,Admati,Yaron Ben Simhon,Admati
Adon Hakol,Circle,2012,Eli Segal; Sefi Aviv,Adon Hakol,Eli Segal Sefi Aviv,Adon Hakol
Adon Haslichot,Circle,2003,Avner Naim,Adon Haslichot,Avner Naim,"Adon Haslichot (Circle, Avner Naim)"
Adon Haslichot,Circle,2007,Bonny Piha; Yoram Sasson,Adon Haslichot,Bonny Piha Yoram Sasson,"Adon Haslichot (Circle, Bonny Piha; Yoram Sasson)"
Adon Haslichot,Partner,1976,Shlomo Bachar,Adon Haslichot,Shlomo Bachar,Adon Haslichot (Partner)
Adon Kimat Ugeveret Kevar (Balada Al Adon Kimat..),,1996, ,Adon Kimat Ugeveret Kevar Balada Al Adon Kimat, ,Adon Kimat Ugeveret Kevar (Balada Al Adon Kimat..)
Adon Olam,Circle,1984,Shlomo Maman,Adon Olam,Shlomo Maman,"Adon Olam (Circle, Shlomo Maman)"
Adon Olam,Circle,2010,Gadi Bitton,Adon Olam,Gadi Bitton,"Adon Olam (Circle, Gadi Bitton)"
Adoni HaShofet,Partner,2013,Tuvia Tishler,Adoni HaShofet,Tuvia Tishler,Adoni HaShofet
Adraba,Circle,2016,Eli Ronen,Adraba,Eli Ronen,Adraba
Af Achat Acheret,Partner,2014,Rafi Ziv,Af Achat Acheret,Rafi Ziv,Af Achat Acheret
Af Echad,Partner,2013,Tamir Shalev,Af Echad,Tamir Shalev,Af Echad
Af Pa'am Lo Omer,Partner,2008,Victor Gabbay,Af Paam Lo Omer,Victor Gabbay,Af Pa'am Lo Omer
Af Pa'am Lo Ted'i,Partner,2015,Ofer Alfasi,Af Paam Lo Tedi,Ofer Alfasi,Af Pa'am Lo Ted'i
Af Pam Lo Levad,Circle,2015,Oren Ashkenazi,Af Pam Lo Levad,Oren Ashkenazi,Af Pam Lo Levad
Af Tsemach,Circle,1900,Moshe Cafri,Af Tsemach,Moshe Cafri,Af Tsemach
Afa Al Kulam,Circle,2016,Shmulik Gov Ari,Afa Al Kulam,Shmulik Gov Ari,Afa Al Kulam
Afilu (cherev),Circle,2004,Connie L. Katz,Afilu cherev,Connie L Katz,Afilu (cherev)
Afilu She'ahavti,Partner,2018,Yaron Ben Simhon,Afilu Sheahavti,Yaron Ben Simhon,Afilu She'ahavti
Afilu Shesreifot,Partner,2006,Ran Hirsh,Afilu Shesreifot,Ran Hirsh,"Afilu Shesreifot (Partner, Ran Hirsh)"
Afilu Shesreifot,Partner,2006,Gadi Bitton,Afilu Shesreifot,Gadi Bitton,"Afilu Shesreifot (Partner, Gadi Bitton)"
Afim Alai,Circle,2014,Oren Bachar,Afim Alai,Oren Bachar,Afim Alai
Afrita,Partner,2013,Gadi Bitton,Afrita,Gadi Bitton,Afrita
Afrokai,Line,2016,Oren Ashkenazi; Lena Ashkenazi,Afrokai,Oren Ashkenazi Lena Ashkenazi,Afrokai
Agada,Partner,2007,Adi Atiram,Agada,Adi Atiram,Agada
Agada Avuda,Circle,2016,Itzik Lezebnic,Agada Avuda,Itzik Lezebnic,Agada Avuda
Agada Midbarit,Circle,1998,Nir Dor,Agada Midbarit,Nir Dor,Agada Midbarit
Agada Midbarit Ksuma,Circle,2006,Tuvia Tishler,Agada Midbarit Ksuma,Tuvia Tishler,Agada Midbarit Ksuma
Agadah Armenit,Circle,2002,Bonny Piha,Agadah Armenit,Bonny Piha,Agadah Armenit
Agadat Deshe,Partner,2002,Israel Shabtai,Agadat Deshe,Israel Shabtai,Agadat Deshe
Agadat Hamapuchit,Partner,1986,Marco Ben Shimon,Agadat Hamapuchit,Marco Ben Shimon,Agadat Hamapuchit
Agadat Hashemesh Vehayareach,Partner,2007,Elad Perl,Agadat Hashemesh Vehayareach,Elad Perl,Agadat Hashemesh Vehayareach
Agadat Hasultan,Circle,1995,Gadi Bitton,Agadat Hasultan,Gadi Bitton,Agadat Hasultan
Agadat Laila (Agada Leylit),Circle,2001,Oren Shmuel,Agadat Laila Agada Leylit,Oren Shmuel,Agadat Laila (Agada Leylit)
Agadat Shabazi,Circle,1999,Shmulik Gov Ari,Agadat Shabazi,Shmulik Gov Ari,Agadat Shabazi
Agadat Shalom Shabazi,Circle,2001,Israel Shiker,Agadat Shalom Shabazi,Israel Shiker,Agadat Shalom Shabazi
Agadelcha,Circle,1979,Israel Yakovee,Agadelcha,Israel Yakovee,Agadelcha
Agala Retuma Lesusim,Circle,2005,Avi Amsalam,Agala Retuma Lesusim,Avi Amsalam,Agala Retuma Lesusim
Agan Hayam Hatichon,Circle,1985,Ira Weisburd,Agan Hayam Hatichon,Ira Weisburd,Agan Hayam Hatichon
Agilei Damar,Partner,1995,Shmulik Gov Ari,Agilei Damar,Shmulik Gov Ari,Agilei Damar
Agir Halay,Circle,1999,Ahmet Luleci,Agir Halay,Ahmet Luleci,Agir Halay
